Temperature,irradiation,Tc,eff,PowerS,wind speed,V(t),PowerW,PowerNuc,Flow_m3ps,PowerH,P_el
33.1065,466.226,47.7,0.149070075,347.5017249,1.84,1.57,233.0121851,10000000,5.32,887216.4,69380000
32.4548,307.452,42.1,0.152852572,234.9741454,1.72,1.46,186.6990628,10000000,5.32,887216.4,65852000
31.1548,128.548,35.2,0.157495801,101.2288511,1.5,1.27,118.2752605,10000000,5.32,887216.4,65516000
29.6,21.2258,30.3,0.1608034,17.06590404,1.1,0.94,39.06793807,10000000,5.32,887216.4,64696000
28.5742,0,28.6,0.161941579,0,0.74,0.63,2.315086743,10000000,5.32,887216.4,66548000
27.9129,0,27.9,0.162387186,0,0.64,0.55,0,10000000,5.32,887216.4,60200000
27.3065,0,27.3,0.1627958,0,0.7,0.59,0,10000000,5.32,887216.4,61840000
26.7452,0,26.7,0.163174023,0,0.74,0.63,1.883427011,10000000,5.32,887216.4,66368000
26.2387,0,26.2,0.163515321,0,0.77,0.66,4.355450747,10000000,5.32,887216.4,61508000
25.03,0,25,0.164332009,0,0.81,0.69,6.815908403,10000000,5.32,887216.4,66108000
24.63,0,24.6,0.164599319,0,0.83,0.71,8.936386065,10000000,5.32,887216.4,70016000
24.3,0,24.3,0.164819461,0,1.1,0.93,38.59001993,10000000,5.15,858865.5,64096000
24.05,0,24,0.164992367,0,1.10968,0.94,39.98731062,10000000,5.15,858865.5,67688000
23.94,0,23.9,0.165062041,0,1.12903,0.96,42.85437419,10000000,5.15,858865.5,70184000
24.15,0,24.1,0.164924983,0,1.13548,0.96,43.8321949,10000000,5.15,858865.5,67508000
25.77,42.2667,27.1,0.162941123,34.43491774,1.13226,0.96,43.34264999,10000000,5.15,858865.5,71472000
28.28,187.367,34.1,0.158196594,148.2041057,1.11935,0.95,41.40771134,10000000,5.15,858865.5,69712000
30.42,341.667,41.1,0.153500991,262.2311158,1.04194,0.89,30.71325569,10000000,5.15,858865.5,68428000
31.9,523.7,48.3,0.148670584,389.293924,1.15806,0.98,47.34375792,10000000,5.15,858865.5,63876000
32.78,651.333,53.1,0.145389997,473.4865151,1.27419,1.08,67.66922811,10000000,5.15,858865.5,70856000
33.34,678.533,54.5,0.144444337,490.051247,1.24194,1.06,61.63294622,10000000,5.15,858865.5,67492000
33.61,721.367,56.2,0.143358208,517.0694013,1.41613,1.2,98.06864945,10000000,5.15,858865.5,62484000
33.68,694.033,55.4,0.143888844,499.3180317,1.62903,1.38,156.5278388,10000000,5.15,858865.5,58480000
33.51,597.667,52.2,0.146032608,436.3943546,1.72903,1.47,189.8747122,10000000,5.15,858865.5,63952000
32.99,437.767,46.7,0.149745624,327.768464,1.7129,1.46,184.2254533,10000000,5.15,858865.5,60036000
31.92,244.567,39.6,0.154534907,188.9706927,1.59355,1.35,145.6345646,10000000,5.15,858865.5,64844000
30.15,71.3333,32.4,0.15937766,56.84467215,1.25806,1.07,64.61146905,10000000,5.15,858865.5,66560020
28.69,0,28.7,0.161865773,0,0.880645,0.75,13.04638722,10000000,5.15,858865.5,69872000
27.95,0,27.9,0.16236441,0,0.770968,0.66,4.188708654,10000000,5.15,858865.5,71144000
27.26,0,27.3,0.162829357,0,0.825806,0.7,8.323837821,10000000,5.15,858865.5,69984000
26.59,0,26.6,0.163280826,0,0.887097,0.75,13.64243889,10000000,5.15,858865.5,67296000
25.93,0,25.9,0.163723333,0,0.977419,0.83,22.93242831,10000000,5.15,858865.5,61968000
25.35,0,25.3,0.164116381,0,1.03226,0.88,29.48205279,10000000,5.15,858865.5,65336000
18.24,0,18.2,0.168903844,0,1.07419,0.91,34.98296088,10000000,5.15,858865.5,58532000
17.93,0,17.9,0.169116844,0,1.10323,0.94,39.05354408,10000000,5.15,858865.5,65116000
17.77,0,17.8,0.169218997,0,1.16333,0.99,48.18332894,10000000,5,833850,69052000
17.68,0,17.7,0.169279844,0,1.18667,1.01,51.99399345,10000000,5,833850,70992000
17.66,0,17.7,0.169297229,0,1.19333,1.01,53.10926118,10000000,5,833850,71184000
17.62,0,17.6,0.16932553,0,1.17,0.99,49.25689607,10000000,5,833850,70352000
18.56,15.0968,19,0.168370723,12.70929565,1.17333,1,49.79747771,10000000,5,833850,67068000
21,154.774,25.8,0.163784054,126.7475662,1.20667,1.03,55.38086529,10000000,5,833850,66644000
23.81,341.161,34.5,0.157970278,269.4664894,1.20333,1.02,54.8073689,10000000,5,833850,62988000
25.94,487.548,41.2,0.153451005,374.0736536,1.35,1.15,83.10710979,10000000,5,833850,71644000
27.26,576.903,45.3,0.150676056,434.6273433,1.59,1.35,144.5709073,10000000,5,833850,67228000
27.98,624.806,47.5,0.149186969,466.0645666,1.67,1.42,169.7107303,10000000,5,833850,62964000
28.29,626.903,47.9,0.148934125,466.8362488,1.83333,1.56,229.015887,10000000,5,833850,58764000
28.22,583.484,46.4,0.149896256,437.3103355,2.08667,1.77,344.2629806,10000000,5,833850,64448000
27.77,448.387,41.8,0.153043188,343.112879,2.14333,1.82,374.2361824,10000000,5,833850,60168000
26.82,291.742,35.9,0.156982937,228.9925796,2.04667,1.74,324.0595244,10000000,5,833850,66068000
25.02,122.065,28.8,0.161768787,98.73153468,1.83,1.56,227.6947548,10000000,5,833850,65948000
23.27,5.3871,23.4,0.165399466,4.455117328,1.37,1.16,87.48158027,10000000,5,833850,64832000
22.34,0,22.3,0.166141121,0,1.06,0.9,33.0722067,10000000,5,833850,65324000
21.53,0,21.5,0.166686658,0,1.06,0.9,33.0722067,10000000,5,833850,65260000
20.67,0,20.7,0.167269255,0,1.04333,0.89,30.89194119,10000000,5,833850,69308000
19.82,0,19.8,0.16784087,0,1.02333,0.87,28.36653361,10000000,5,833850,62036000
19.11,0,19.1,0.16831909,0,1.02333,0.87,28.36653361,10000000,5,833850,65108000
18.55,0,18.6,0.168693001,0,1.05667,0.9,32.63114357,10000000,5,833850,60492000
13.51,0,13.5,0.17209014,0,1.11667,0.95,41.01158271,10000000,5,833850,60644000
13.2,0,13.2,0.172303477,0,1.15667,0.98,47.12358424,10000000,5,833850,67724000
12.93,0,12.9,0.172480965,0,1.27419,1.08,67.66922811,10000000,4.88,813837.6,69640000
12.75,0,12.7,0.172606702,0,1.32903,1.13,78.6575985,10000000,4.88,813837.6,72396000
12.67,0,12.7,0.172658386,0,1.35806,1.15,84.85455171,10000000,4.88,813837.6,66244000
12.5,0,12.5,0.172772938,0,1.36129,1.16,85.56067868,10000000,4.88,813837.6,66356000
